,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
ret_z_96,448.87569856643677,456.5189723968506,563.580822467804,625.9998741149902,744.0716190338135,675.4379692077637,625.9385604858398,592.2633299827576,649.4089670181274,457.8109302520752,352.7981390953064,389.9428310394287,409.6955499649048
ret_z_480,255.3478865623474,259.327862739563,328.7795090675354,300.6667070388794,221.91782760620117,222.53273153305054,268.7446618080139,355.2451686859131,268.9181594848633,336.0234808921814,235.70034170150757,297.3053388595581,288.2187509536743
ret_skew_32,6190.694651126862,7310.967938899994,7204.864089488983,8028.378179550171,7520.465522289276,8082.684937000275,9016.47045993805,8666.015119075775,8468.391638278961,8361.89354133606,7538.83651638031,8537.87985420227,8929.776604652405
ret_skew_96,7512.975533008575,7895.789853096008,8444.174421787262,9181.571400165558,9153.974540233612,9538.109772205353,9189.70798921585,9004.81463766098,10032.66768503189,10159.539318561554,9678.017753601074,10023.532250404358,9905.277699947357
ret_kurt_96,7053.64235162735,7832.109238147736,9190.385195732117,10031.48137998581,9937.323846817017,9982.672879219055,11014.822716236115,11192.751070976257,11526.30084514618,11807.27288722992,11805.30276298523,13097.48670387268,11751.718791484833
ret_autocorr1_96,6955.337024688721,7415.400648117065,8561.650625228882,7952.322860240936,9112.70200920105,8519.542352199554,9341.25331068039,9257.384887695312,8758.067412376404,9271.085716247559,9577.312653064728,10669.192654132843,9920.735222816467
var_ratio_4_96,5856.169272899628,6394.5272789001465,6923.351146221161,6784.83971786499,7700.076642990112,8967.988960266113,8583.060964107513,8572.621072769165,8112.198968887329,8804.525524616241,9363.325867652893,9405.783115386963,9676.14348745346
body_atr,292.74978041648865,363.51215982437134,391.41363859176636,374.19758796691895,309.8660001754761,165.16245889663696,177.1631407737732,182.61875104904175,242.6832709312439,174.69751834869385,329.0383372306824,193.9054822921753,204.09150218963623
range_atr,725.712920665741,670.443600654602,683.492175579071,695.3094449043274,681.3258881568909,809.3438425064087,630.4831562042236,1020.9233932495117,1031.958284854889,1270.3855519294739,930.5132870674133,1045.9901976585388,975.9792718887329
upwick_frac,378.05748081207275,289.7534599304199,328.366352558136,233.66543865203857,184.3808398246765,281.9739212989807,320.48212146759033,381.82804584503174,380.40459060668945,468.01826906204224,247.46220016479492,366.86520051956177,453.11350297927856
dnwick_frac,476.27300906181335,400.77303981781006,332.72224044799805,436.2223320007324,404.9614396095276,378.4702501296997,469.03690099716187,429.8732285499573,319.87728786468506,350.48427152633667,412.1203804016113,335.23807287216187,393.6093029975891
close_pos,263.7931909561157,289.78319025039673,232.72537899017334,267.1045870780945,296.88362979888916,249.672119140625,358.8087019920349,389.29735708236694,387.1498804092407,373.91038703918457,364.5489492416382,526.2797727584839,536.8981404304504
body_frac,252.85512113571167,259.94587993621826,384.36754751205444,260.49221754074097,292.8529896736145,283.86722135543823,302.44224071502686,286.7179207801819,255.5304889678955,270.34810066223145,161.33157062530518,226.08144998550415,270.9632396697998
gap_atr,583.1456017494202,578.7381753921509,648.9631390571594,562.8153805732727,453.5125484466553,561.4478902816772,526.3889384269714,490.9600682258606,487.5501775741577,609.4457406997681,621.4541277885437,499.5950598716736,547.0994701385498
up_frac_3,50.211111068725586,19.90263032913208,25.58216953277588,117.54924869537354,66.52122068405151,91.47561073303223,98.59840106964111,101.18367958068848,89.4251594543457,135.47627067565918,183.38145065307617,83.9941782951355,84.63580989837646
up_frac_8,256.3941264152527,183.24627017974854,287.6579804420471,357.66016578674316,548.210334777832,621.8674640655518,613.5341558456421,579.9883179664612,468.23870515823364,677.7564811706543,443.84511518478394,454.4751501083374,348.752028465271
up_frac_20,1108.9851984977722,1269.7334599494934,1034.275032043457,1407.9833326339722,1447.7532997131348,1468.417206287384,1085.8560004234314,930.0264778137207,1099.904158115387,967.9005174636841,916.78892993927,944.4301128387451,892.500650882721
close_streak,44.88434934616089,141.34925985336304,138.2477307319641,126.38341045379639,208.08159017562866,155.96668100357056,89.10032033920288,154.46921157836914,172.84625959396362,149.21477127075195,146.21043014526367,173.46375036239624,73.87571954727173
engulf,4.009679794311523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.444999694824219,0.0,0.0
inside_bar,0.0,0.0,0.0,0.0,9.828069686889648,0.0,0.0,0.0,0.0,7.9622697830200195,0.0,0.0,0.0
